pair,count
at=>be,17232
at=>but,255412
at=>at,619202
at=>do,37206
at=>a,682316
at=>all,536068
at=>did,2794
at=>are,15684
at=>as,342738
at=>by,202660
at=>and,284268
at=>an,26258
at=>bad,3884
at=>been,678
at=>am,448938
