pair,count
given=>is,4
give=>us,5
give=>him,6
give=>it,16
given=>in,30
given=>by,20
give=>me,28
given=>at,2
give=>and,30
given=>and,11
give=>to,226
given=>or,2
give=>them,4
given=>to,20
