pair,count
be=>not,1991220
be=>will,1953133
be=>was,154344
be=>gave,5328
be=>be,1327623
be=>the,179322
be=>would,456288
be=>good,880985
be=>this,243507
be=>one,172707
be=>how,816445
be=>eight,2184
be=>some,8748
be=>three,9123
be=>those,6002
be=>a,96232
be=>him,13059
be=>you,1208868
be=>they,101979
be=>are,442422
be=>has,51519
be=>been,40656
be=>very,2212
be=>she,43086
be=>who,201432
be=>for,1037632
be=>me,122445
be=>that,478572
be=>as,753716
be=>all,180252
be=>in,2502688
be=>given,22155
be=>of,373128
be=>we,200913
be=>yours,16200
be=>with,1362728
be=>seven,3078
be=>did,20643
be=>were,60228
be=>when,106188
be=>their,1844
be=>on,703323
be=>and,6023824
be=>things,40845
be=>test,11514
be=>her,12174
be=>hers,522
be=>us,34074
be=>five,4809
be=>my,7953
be=>these,4296
be=>ours,5348
be=>at,561552
be=>which,35211
be=>have,329187
be=>thing,31476
be=>many,3984
be=>theirs,1458
be=>two,16782
been=>has,3
be=>from,166752
be=>by,375798
be=>your,12039
be=>tests,4086
be=>his,8376
be=>our,3975
be=>had,43746
be=>why,183660
be=>where,61185
be=>bad,43464
be=>it,1371584
be=>give,122877
be=>but,575016
be=>them,18966
be=>i,327778
be=>nine,2802
be=>an,10521
be=>mine,35790
be=>six,3612
be=>am,84033
be=>none,3438
be=>do,387513
be=>is,1049924
be=>what,256326
be=>four,6375
be=>or,516252
be=>to,6164072
be=>most,6630
be=>ten,2481
be=>few,3880
be=>he,72933
be=>its,2811
