pair,count
test=>for,414
test=>all,7
test=>of,620
tests=>in,1
test=>the,3275
tests=>the,11
test=>and,134
tests=>for,524
test=>a,393
tests=>of,10
test=>to,50
test=>test,278
tests=>on,14
tests=>and,58
