pair,count
to=>by,19952
to=>none,5985
to=>or,9186
to=>for,58356
to=>he,3324
to=>many,1316
to=>but,11182
to=>given,1060
to=>nine,770
to=>of,10512
to=>few,960
to=>as,10104
to=>has,708
to=>bad,694
to=>in,66732
to=>eight,474
to=>his,1455
to=>be,3944
to=>from,358335
to=>and,159484
to=>is,11878
to=>mine,850
to=>had,294
to=>four,1522
to=>all,71746
to=>gave,47
to=>it,18534
to=>most,1042
to=>did,712
to=>hers,7
to=>how,115492
to=>at,8596
to=>good,4566
to=>i,26234
to=>an,2654
to=>give,500
to=>on,20764
to=>one,27840
to=>five,2104
to=>her,8004
to=>its,312
to=>him,133884
to=>am,10812
to=>my,3264
to=>me,78032
to=>not,32883
to=>do,5566
to=>a,19551
to=>are,5318
to=>ours,64
to=>our,1488
to=>been,406
to=>have,5684
