pair,count
on=>on,2660544
on=>ten,27696
on=>which,818472
on=>has,56160
on=>in,5257448
on=>you,182415
on=>one,1290627
on=>good,44127
on=>how,34635
on=>yours,2152
on=>he,11421
on=>bad,2655
on=>they,8196
on=>all,206860
on=>were,73010
on=>am,21585
on=>to,1078260
on=>as,271388
on=>from,439221
on=>them,45356
on=>seven,15777
on=>two,122048
on=>what,912828
on=>are,292374
on=>it,511444
on=>did,11040
on=>very,2247
on=>mine,14031
on=>or,1864206
on=>is,1134488
on=>do,37902
on=>us,56528
on=>most,15344
on=>five,34083
on=>some,109588
on=>she,3060
on=>by,569103
on=>nine,11250
on=>its,4641
on=>have,114264
on=>these,45688
on=>of,485184
on=>we,11997
on=>your,22101
on=>tests,148710
one=>of,570
on=>eight,9630
on=>the,550749
on=>our,7818
on=>with,1620044
on=>my,22383
on=>was,316872
on=>not,128320
on=>thing,38562
on=>those,63354
on=>and,10882512
on=>i,79772
on=>four,34272
on=>me,193287
on=>who,14127
on=>test,238336
on=>for,1007735
on=>but,612153
on=>ours,1773
on=>him,96600
on=>when,39672
on=>that,146307
on=>his,18750
on=>had,44508
on=>at,1199511
on=>where,20232
on=>an,38682
on=>three,105999
on=>their,17934
on=>be,160761
on=>been,24928
one=>the,33
on=>things,68616
on=>six,17946
on=>many,28860
on=>this,714177
on=>none,33489
on=>hers,713
on=>will,46302
on=>theirs,198
on=>a,186216
on=>would,2616
on=>give,14158
on=>gave,20860
on=>few,9904
on=>why,5594
on=>given,21618
on=>her,58518
