pair,count
with=>had,33292
with=>hers,1214
with=>test,81639
with=>that,3734046
with=>for,262728
with=>with,1968300
with=>five,25791
with=>ten,8994
with=>them,645312
with=>many,132675
with=>in,1439908
with=>we,8613
with=>do,36273
with=>you,1507390
with=>nine,6261
with=>a,114054
with=>his,4503
with=>but,612201
with=>to,308488
with=>by,276024
with=>these,176842
with=>has,38937
with=>ours,1893
with=>how,32931
with=>us,461924
with=>i,50762
with=>none,57615
with=>seven,11691
with=>be,144774
with=>of,273846
with=>three,56787
with=>as,200432
with=>our,2262
with=>at,353600
with=>where,12024
with=>tests,45276
with=>which,467928
with=>some,189564
with=>was,163827
with=>two,138544
with=>gave,16226
with=>he,9237
with=>are,190050
with=>your,3141
with=>my,5493
with=>were,37576
with=>those,266670
with=>good,23259
with=>and,11133748
with=>things,146658
with=>from,130395
with=>when,16492
with=>it,694035
with=>give,15684
with=>is,578572
with=>all,801273
with=>bad,2314
with=>she,3654
with=>mine,14564
with=>me,873945
with=>not,58206
with=>this,2568777
with=>theirs,760
with=>who,71529
with=>the,89790
with=>very,896
with=>will,121719
with=>four,29061
with=>would,3214
with=>did,9560
with=>am,19059
with=>why,6093
with=>they,3646
with=>what,705429
with=>him,1053090
with=>six,19260
with=>an,10278
with=>have,98442
with=>thing,47889
with=>been,30597
with=>most,21846
with=>her,446358
with=>given,20174
with=>yours,8880
with=>one,542484
with=>their,1422
with=>or,807951
with=>eight,8799
with=>on,369426
with=>its,1224
with=>few,26106
