pair,count
all=>a,27
all=>to,60
all=>as,210
all=>the,27
all=>at,60
all=>and,588
all=>but,304
all=>be,26
all=>or,42
all=>for,512
all=>with,104
all=>us,11
all=>has,13
all=>was,172
all=>you,8
all=>them,16
all=>of,530
all=>it,71
all=>not,12
all=>do,20
all=>on,128
all=>been,10
all=>in,732
all=>one,17
all=>gave,7
all=>from,46
all=>am,16
all=>were,31
all=>by,48
all=>are,69
all=>this,12
all=>is,142
all=>had,62
all=>that,110
all=>have,69
all=>all,18
all=>did,23
