pair,count
us=>it,2034
us=>with,2438
us=>give,25
us=>we,1084
us=>by,824
us=>you,5346
us=>are,2910
us=>seven,37
us=>in,10317
us=>its,38
us=>some,280
us=>all,92052
us=>the,41898
us=>he,624
us=>is,1932
us=>for,3759
us=>six,92
us=>one,1386
us=>ours,706
us=>most,24
us=>things,210
us=>as,1092
us=>how,400
us=>and,179271
us=>who,386
us=>had,73
us=>what,1268
us=>four,812
us=>eight,23
us=>will,90
us=>they,510
us=>do,358
us=>not,1788
us=>two,2392
us=>this,942
us=>their,56
us=>from,1180
us=>but,1900
us=>ten,32
us=>our,486
us=>on,3012
us=>them,36326
us=>have,584
us=>a,2540
us=>her,513
us=>me,1306
us=>given,41
us=>three,1580
us=>thing,39
us=>none,223
us=>good,348
us=>or,22464
us=>his,27
us=>was,164
us=>us,4000
us=>your,90
us=>five,214
us=>my,32
us=>i,1630
us=>she,146
us=>these,132
us=>that,1176
us=>which,28
us=>of,8664
us=>those,318
us=>why,319
us=>has,81
us=>few,12
us=>were,100
us=>him,534
us=>been,32
us=>at,2763
us=>be,334
us=>yours,12
us=>an,2970
us=>to,4071
us=>where,102
us=>did,36
us=>many,15
us=>when,114
