pair,count
from=>i,8
from=>of,180
from=>as,18
from=>to,428
from=>at,16
from=>on,140
from=>them,10
from=>from,432
from=>a,32
from=>with,16
from=>the,156
from=>which,135
from=>him,9
from=>is,32
from=>and,480
from=>in,462
from=>for,246
from=>but,6
from=>it,6
from=>or,26
from=>by,192
from=>you,9
from=>her,28
from=>one,11
from=>me,22
