pair,count
as=>that,31300996
as=>do,1785970
as=>none,137322
as=>two,3702320
as=>on,15636640
as=>i,142414
as=>theirs,219934
as=>us,602964
as=>who,177456
as=>given,822188
as=>when,238797
as=>seven,374502
as=>be,3026470
as=>hers,122861
as=>not,10336107
as=>things,1636520
as=>ten,562002
as=>bad,141960
as=>thing,2880552
as=>did,587017
as=>me,1063870
as=>as,33086108
as=>the,2639052
as=>yours,1096704
as=>in,83660742
as=>five,553480
as=>we,975591
as=>tests,1276470
as=>ours,1036264
as=>by,6586446
as=>your,29100
as=>he,1033084
as=>was,5709336
as=>they,609966
as=>some,3354024
as=>from,4662764
as=>six,600459
as=>give,424694
as=>would,5156472
as=>test,3533820
as=>this,13993685
as=>them,578872
as=>him,227559
as=>with,47949958
as=>or,23765608
as=>am,478362
as=>very,57789
as=>most,986650
as=>these,6634864
as=>been,708196
as=>she,666504
as=>a,973977
as=>had,494640
as=>one,45728835
as=>three,1360722
as=>of,36928533
as=>is,7584128
as=>those,52627350
as=>mine,417815
as=>my,11548
as=>but,5671126
as=>and,25782052
as=>will,3101684
as=>for,18033378
as=>good,1267860
as=>their,48336
as=>gave,58396
as=>why,69303
as=>all,1256366
as=>which,825531
as=>you,5972724
as=>have,1597566
as=>its,9043
as=>were,2152470
as=>an,365274
as=>at,8300614
as=>to,126167324
as=>his,281983
as=>what,517371
as=>our,24873
as=>nine,69564
as=>it,3455058
as=>many,3110633
as=>few,263564
as=>eight,125052
as=>how,100159
as=>where,165783
as=>has,304901
as=>four,264850
as=>her,225075
as=>are,1828628
