pair,count
at=>given,19600
at=>tests,7818
at=>mine,46857
at=>and,9104868
at=>by,230943
at=>was,651888
at=>not,397125
at=>him,32949
at=>thing,17250
at=>eight,433323
at=>five,568506
at=>been,29466
at=>that,726828
at=>your,3717
at=>their,1740
at=>at,1417112
at=>from,214398
at=>an,17865
at=>them,11018
at=>nine,421758
at=>when,70464
at=>of,339147
at=>ours,684
at=>do,37296
at=>to,322336
at=>ten,460524
at=>seven,404712
at=>our,63894
at=>one,1285428
at=>very,3498
at=>were,130896
at=>four,453177
at=>good,13293
at=>these,14186
at=>my,5322
at=>have,124692
at=>hers,299
at=>with,1391740
at=>why,4710
at=>be,142920
at=>his,4569
at=>did,18126
at=>has,55797
at=>is,1064292
at=>a,161388
at=>as,221628
at=>some,118497
at=>where,25869
at=>few,16620
at=>two,816920
at=>six,464724
at=>on,1250908
at=>for,665200
at=>it,57519
at=>the,268074
at=>three,472542
at=>give,12530
at=>she,3486
at=>how,18003
at=>but,848232
at=>are,274314
at=>am,227118
at=>he,9456
at=>me,75294
at=>they,5001
at=>all,507772
at=>will,31095
at=>i,63048
at=>what,1484481
at=>none,38484
at=>its,1548
at=>bad,1821
at=>this,992277
at=>would,2082
at=>us,12132
at=>which,644127
at=>you,38067
at=>gave,19514
at=>in,3588632
at=>yours,1614
at=>her,40632
at=>those,25886
at=>who,8178
at=>most,372885
at=>test,34923
at=>we,8031
at=>many,41472
at=>things,57006
at=>theirs,188
at=>or,822801
at=>had,76040
