pair,count
as=>has,133252
as=>gave,7772
as=>test,169899
as=>for,41671550
as=>as,1766776
as=>theirs,621
as=>he,17358
as=>at,1902128
as=>all,366424
as=>to,13050040
as=>things,29949
as=>very,2829
as=>seven,11775
as=>or,690348
as=>my,8313
as=>few,31836
as=>that,118191
as=>an,39132
as=>was,292422
as=>in,20697534
as=>your,8682
as=>who,17442
as=>good,40192
as=>and,9381292
as=>us,4530
as=>are,517743
as=>most,272976
as=>none,80460
as=>our,5742
as=>some,140922
as=>not,114152
as=>his,18270
as=>were,136731
as=>a,212896
as=>will,209432
as=>you,211956
as=>its,14220
as=>when,48366
as=>have,193914
as=>four,28236
as=>we,32277
as=>she,3784
as=>where,11517
as=>five,20517
as=>these,86262
as=>am,43755
as=>ten,9936
as=>ours,1342
as=>thing,71112
as=>is,1461828
as=>which,8816
as=>those,265225
as=>on,1561844
as=>this,171128
as=>bad,8097
as=>had,85923
as=>one,3171772
as=>him,10638
as=>her,6282
as=>many,523092
as=>them,2120
as=>tests,19648
as=>mine,14289
as=>give,25338
as=>me,21132
as=>yours,2128
as=>nine,7344
as=>the,1520565
as=>how,26748
as=>hers,716
as=>three,47955
as=>with,36874746
as=>why,5382
as=>what,51258
as=>been,339372
as=>their,16191
as=>it,98756
as=>did,40442
as=>given,43176
as=>be,234702
as=>six,13830
as=>but,774426
as=>from,955244
as=>of,11819852
as=>i,74698
as=>would,79458
as=>they,9342
as=>eight,8958
as=>do,77718
as=>by,730956
as=>two,79812
