pair,count
bad=>for,94434
by=>when,702
but=>in,3030
by=>they,2028
by=>but,9417
by=>bad,519
bad=>give,135
but=>but,1197
but=>which,19
bad=>is,19950
by=>nine,1413
bad=>these,150
by=>are,5982
by=>test,6165
bad=>am,448
but=>the,21236
by=>things,5752
by=>a,44576
by=>of,34064
by=>yours,147
by=>she,360
bad=>bad,41616
by=>this,14732
but=>by,576
but=>he,43
by=>ten,2067
bad=>not,14844
but=>this,1534
bad=>nine,19
by=>these,6621
bad=>at,7134
bad=>with,3266
but=>is,1017
by=>not,18009
by=>you,34412
by=>why,444
by=>had,336
by=>give,609
but=>an,690
by=>three,4317
by=>or,61364
by=>the,81759
by=>it,15484
by=>in,78164
bad=>three,326
but=>them,16
by=>me,14898
by=>six,2340
bad=>a,12908
by=>by,90267
bad=>have,5356
by=>will,4314
by=>with,34258
by=>them,6396
bad=>our,300
bad=>them,294
by=>that,5289
by=>where,4029
but=>did,21
by=>four,2793
bad=>will,204
but=>it,78
by=>to,21432
by=>has,1242
bad=>six,17
by=>his,1206
but=>what,71
bad=>they,724
bad=>one,3078
but=>at,534
by=>many,2958
by=>was,2286
by=>i,12216
bad=>all,5312
but=>has,23
by=>their,1104
but=>from,156
by=>given,477
bad=>test,25
by=>our,2562
by=>is,12783
but=>his,173
by=>we,1317
by=>none,2580
by=>its,633
but=>with,692
by=>am,2037
bad=>be,5068
but=>as,735
by=>eight,1458
bad=>its,180
bad=>it,5482
but=>to,1401
by=>be,3447
bad=>of,8478
bad=>by,1954
by=>what,5913
by=>few,1172
bad=>me,1718
but=>all,3417
bad=>was,5424
bad=>two,544
bad=>and,153924
but=>be,74
bad=>my,2066
bad=>on,2900
but=>my,401
bad=>we,244
but=>when,170
bad=>most,454
by=>did,213
by=>her,18906
but=>how,444
bad=>that,1852
by=>my,1797
by=>from,28455
bad=>or,22914
bad=>where,110
by=>good,4732
but=>not,8592
but=>why,222
by=>seven,1404
by=>your,711
but=>your,296
by=>him,12516
by=>he,1092
but=>they,85
but=>four,16
bad=>i,1986
but=>where,112
by=>and,294882
by=>those,13620
but=>for,1833
by=>which,61535
bad=>the,441784
bad=>from,1366
but=>or,420
by=>do,2778
but=>i,229
by=>us,1143
but=>a,6022
but=>mine,24
bad=>given,86
but=>three,37
bad=>but,19842
but=>one,990
bad=>you,1598
but=>that,212
by=>thing,1473
bad=>as,30346
bad=>she,264
by=>very,160
but=>its,64
but=>two,258
bad=>did,402
by=>were,879
by=>some,5780
by=>five,2874
but=>these,17
by=>two,8043
but=>was,238
bad=>this,1620
but=>good,990
bad=>has,474
bad=>her,392
bad=>he,424
by=>how,1995
but=>we,48
bad=>him,640
but=>most,30
bad=>those,184
but=>of,4134
but=>do,119
bad=>good,87780
by=>all,16818
by=>one,36088
by=>who,564
bad=>thing,648
bad=>many,204
but=>are,450
by=>tests,3155
bad=>things,588
but=>him,100
bad=>their,254
but=>bad,70
by=>for,57140
by=>gave,14
bad=>ten,76
by=>at,11418
bad=>his,890
but=>will,81
by=>have,3552
by=>mine,723
by=>most,2457
bad=>how,1158
but=>and,1592
bad=>what,518
bad=>had,2241
bad=>to,15783
by=>been,404
bad=>none,94
bad=>in,17697
bad=>your,670
but=>five,22
but=>am,71
by=>would,156
bad=>four,204
bad=>are,6796
but=>you,137
bad=>very,29044
by=>an,6129
bad=>few,88
by=>as,13134
bad=>why,296
but=>those,38
but=>her,31
but=>on,654
bad=>an,636
but=>some,95
by=>on,28716
bad=>were,523
but=>me,149
bad=>when,444
bad=>been,435
but=>give,15
bad=>seven,36
bad=>who,17
bad=>some,838
bad=>gave,69
but=>our,422
bad=>five,92
but=>many,29
but=>their,86
bad=>which,23
but=>ten,7
bad=>do,1932
bad=>would,50
bad=>us,26
but=>have,252
but=>been,22
but=>thing,27
