pair,count
at=>this,118
at=>the,2013
at=>to,326
at=>by,80
at=>i,2288
at=>which,122
at=>them,128
at=>as,52
at=>it,312
at=>one,69
at=>have,34
at=>for,788
at=>us,52
at=>has,30
at=>from,134
at=>that,80
at=>of,484
at=>her,150
at=>some,20
at=>not,110
at=>or,184
at=>at,2404
at=>given,44
at=>a,1598
at=>are,98
at=>with,146
at=>on,218
at=>an,206
at=>all,405
at=>you,76
at=>in,926
at=>where,58
at=>is,418
at=>was,35
at=>be,54
at=>and,1587
at=>but,29
at=>we,14
at=>me,344
at=>him,291
