pair,count
her=>some,92
her=>us,486
hers=>is,113
hers=>i,428
hers=>all,214
her=>none,10
her=>will,218
his=>and,336
her=>by,792
her=>and,225858
her=>that,1994
her=>it,2916
hers=>hers,616
her=>his,364
her=>was,5260
hers=>you,21
her=>eight,18
hers=>his,1710
her=>how,146
hers=>two,24
hers=>or,3850
hers=>with,124
her=>one,3426
her=>they,504
her=>four,32
her=>its,8
her=>or,15666
his=>in,5
hers=>the,1396
hers=>my,27
hers=>of,375
hers=>have,18
her=>on,2536
her=>her,6008
her=>as,319
hers=>in,1692
her=>she,1390
her=>two,179
her=>hers,78
hers=>yours,834
her=>been,291
her=>are,684
hers=>she,198
her=>why,246
her=>them,598
her=>mine,150
her=>with,2842
her=>when,21
hers=>and,21578
her=>seven,51
her=>we,318
her=>an,534
her=>not,1814
her=>for,1752
her=>but,3706
hers=>theirs,586
hers=>an,14
her=>from,708
her=>what,1684
hers=>he,18
her=>do,62
her=>ten,41
hers=>mine,2396
hers=>not,718
her=>five,53
hers=>do,15
hers=>it,432
hers=>were,54
hers=>a,214
her=>the,1550
her=>good,24
her=>those,84
hers=>been,22
hers=>on,92
her=>all,1904
her=>is,3258
her=>has,346
her=>he,1112
her=>this,210
her=>a,1170
hers=>be,63
her=>gave,119
hers=>to,227
her=>had,301
her=>to,5564
her=>in,5278
hers=>their,20
hers=>for,826
her=>given,95
her=>you,2012
her=>who,320
her=>did,103
hers=>from,55
her=>things,40
her=>me,8640
hers=>as,134
hers=>these,15
hers=>most,25
her=>of,4718
hers=>her,336
her=>him,3782
her=>i,7256
him=>and,23
her=>have,121
hers=>me,16
hers=>but,221
her=>their,24
her=>which,38
hers=>at,147
hers=>are,32
him=>the,31
hers=>that,111
hers=>many,35
hers=>some,12
her=>am,27
her=>three,113
her=>at,551
her=>give,23
hers=>ours,430
hers=>by,293
her=>were,402
her=>six,41
hers=>had,23
hers=>one,122
hers=>was,109
her=>my,67
his=>or,34
hers=>those,35
hers=>am,66
her=>thing,47
her=>be,198
