pair,count
do=>him,25668
do=>our,7548
do=>nine,1782
do=>but,336105
do=>two,26688
do=>give,83856
do=>yours,6159
do=>you,11367706
do=>was,64314
do=>all,200085
do=>theirs,248
do=>for,1709624
do=>have,1740408
do=>by,403242
do=>none,11877
do=>it,3996628
do=>why,148566
do=>four,5562
do=>seven,1965
do=>me,548133
do=>five,4434
do=>my,21492
do=>what,9027623
do=>do,1311456
do=>not,5882492
do=>be,323427
do=>bad,3944
do=>thing,337410
do=>ours,284
do=>ten,3072
do=>were,23451
do=>very,2232
do=>which,12207
do=>that,524574
do=>good,193792
do=>as,554292
do=>your,37545
do=>with,2664018
do=>and,3177624
do=>will,390012
do=>his,14103
do=>six,2343
do=>or,509772
do=>been,12303
do=>most,7860
do=>her,22632
do=>a,173440
do=>to,4342860
do=>at,287388
do=>on,598244
do=>given,5096
do=>of,221502
do=>tests,11043
do=>where,34572
do=>the,570825
do=>in,1259844
do=>from,157335
do=>did,139557
do=>is,374631
do=>when,59919
do=>three,10872
do=>test,40014
do=>us,91683
do=>this,1940375
do=>has,28578
do=>had,18543
do=>gave,2024
do=>many,15939
do=>their,7077
do=>he,50412
do=>how,832545
do=>those,57075
do=>hers,45
do=>them,53691
do=>would,210956
do=>mine,6201
do=>things,600664
do=>who,103868
do=>one,120183
do=>its,5301
do=>eight,1575
do=>these,45648
do=>an,18246
do=>some,65712
do=>they,437613
do=>we,1080264
do=>she,25641
do=>am,16161
do=>are,164061
do=>i,852766
do=>few,2966
